排名,英文姓名,中文姓名,财富（十亿美元）,行业,国籍,x,y
1,Jeff Bezos,杰夫·贝索斯,131,亚马逊,美国,45.04,40.07
2,Bill Gates,比尔·盖茨,96.5,微软,美国,45.04,40.07
3,Warren Buffett,沃伦·巴菲特,82.5,伯克希尔哈撒韦,美国,45.04,40.07
4,Bernard Arnault,伯纳德·阿诺特,76,奢侈品,法国,2.21,46.23
5,Carlos Slim Helu,卡洛斯·斯利姆·埃卢,64,电信,墨西哥,-102.55,23.63
6,Amancio Ortega,阿曼西奥·奥特加,62.7,Zara,西班牙,-3.75,40.46
7,Larry Ellison,拉里·埃里森,62.5,软件,美国,45.04,40.07
8,Mark Zuckerberg,马克·扎克伯格,62.3,Facebook,美国,45.04,40.07
9,Michael Bloomberg,迈克尔·布隆伯格,55.5,彭博,美国,45.04,40.07
10,Larry Page,拉里·佩奇,50.8,谷歌,美国,45.04,40.07
11,Charles Koch,查尔斯·科赫,50.5,科氏工业,美国,45.04,40.07
11,David Koch,大卫·科赫,50.5,科氏工业,美国,45.04,40.07
13,Mukesh Ambani,穆克什·安巴尼,50,"石化,油气",印度,78.96,20.59
14,Sergey Brin,谢尔盖·布林,49.8,谷歌,美国,45.04,40.07
15,Francoise Bettencourt Meyers,弗朗索瓦丝·贝当古·迈耶斯,49.3,欧莱雅,法国,2.21,46.23
16,Jim Walton,吉姆·沃尔顿,44.6,沃尔玛,美国,45.04,40.07
17,Alice Walton,艾丽斯·沃尔顿,44.4,沃尔玛,美国,45.04,40.07
18,Rob Walton,罗伯·沃尔顿,44.3,沃尔玛,美国,45.04,40.07
19,Steve Ballmer,史蒂夫·鲍尔默,41.2,微软,美国,45.04,40.07
20,Ma Huateng,马化腾,38.8,社交媒体,中国内地,104.2,35.86
21,Jack Ma,马云,37.3,电商,中国内地,104.2,35.86
22,Hui Ka Yan,许家印,36.2,房地产,中国内地,104.2,35.86
23,Beate Heister & Karl Albrecht Jr.,贝亚特·海斯特和小卡尔·阿尔布雷希特,36.1,超市,德国,10.45,51.17
24,Sheldon Adelson,谢尔登·阿德尔森,35.1,博彩,美国,45.04,40.07
25,Michael Dell,迈克尔·戴尔,34.3,戴尔电脑,美国,45.04,40.07
26,Phil Knight,菲尔·耐特,33.4,耐克,美国,45.04,40.07
27,David Thomson,大卫·汤姆森,32.5,媒体,加拿大,-106.35,56.13
